declaring_class,mtd_name,mtd_sig
ActionProvider,onCreateActionView,View onCreateActionView ()
ActionProvider,onCreateActionView,View onCreateActionView (MenuItem forItem)
MediaRouteActionProvider,onCreateActionView,View onCreateActionView ()
MediaRouteActionProvider,onCreateActionView,View onCreateActionView (MenuItem item)
ShareActionProvider,onCreateActionView,View onCreateActionView ()
Fragment,onCreateAnimator,"Animator onCreateAnimator (int transit, boolean enter, int nextAnim)"
InputMethodService,onCreateCandidatesView,View onCreateCandidatesView ()
VoiceInteractionSession,onCreateContentView,View onCreateContentView ()
Activity,onCreateContextMenu,"void onCreateContextMenu (ContextMenu menu, View v, ContextMenu.ContextMenuInfo menuInfo)"
Dialog,onCreateContextMenu,"void onCreateContextMenu (ContextMenu menu, View v, ContextMenu.ContextMenuInfo menuInfo)"
ExpandableListActivity,onCreateContextMenu,"void onCreateContextMenu (ContextMenu menu, View v, ContextMenu.ContextMenuInfo menuInfo)"
Fragment,onCreateContextMenu,"void onCreateContextMenu (ContextMenu menu, View v, ContextMenu.ContextMenuInfo menuInfo)"
TextView,onCreateContextMenu,void onCreateContextMenu (ContextMenu menu)
View,onCreateContextMenu,void onCreateContextMenu (ContextMenu menu)
View.OnCreateContextMenuListener,onCreateContextMenu,"void onCreateContextMenu (ContextMenu menu, View v, ContextMenu.ContextMenuInfo menuInfo)"
PackageInstaller.SessionCallback,onCreated,void onCreated (int sessionId)
Activity,onCreateDescription,CharSequence onCreateDescription ()
Activity,onCreateDialog,"Dialog onCreateDialog (int id, Bundle args)"
Activity,onCreateDialog,Dialog onCreateDialog (int id)
DialogFragment,onCreateDialog,Dialog onCreateDialog (Bundle savedInstanceState)
DialogPreference,onCreateDialogView,View onCreateDialogView ()
CheckedTextView,onCreateDrawableState,int[] onCreateDrawableState (int extraSpace)
CompoundButton,onCreateDrawableState,int[] onCreateDrawableState (int extraSpace)
ImageView,onCreateDrawableState,int[] onCreateDrawableState (int extraSpace)
MediaRouteButton,onCreateDrawableState,int[] onCreateDrawableState (int extraSpace)
Switch,onCreateDrawableState,int[] onCreateDrawableState (int extraSpace)
TextView,onCreateDrawableState,int[] onCreateDrawableState (int extraSpace)
View,onCreateDrawableState,int[] onCreateDrawableState (int extraSpace)
ViewGroup,onCreateDrawableState,int[] onCreateDrawableState (int extraSpace)
WallpaperService,onCreateEngine,WallpaperService.Engine onCreateEngine ()
InputMethodService,onCreateExtractTextView,View onCreateExtractTextView ()
ConnectionService,onCreateIncomingConnection,"Connection onCreateIncomingConnection (PhoneAccountHandle connectionManagerPhoneAccount, ConnectionRequest request)"
ConnectionService,onCreateIncomingConnectionFailed,"void onCreateIncomingConnectionFailed (PhoneAccountHandle connectionManagerPhoneAccount, ConnectionRequest request)"
AbsListView,onCreateInputConnection,InputConnection onCreateInputConnection (EditorInfo outAttrs)
TextView,onCreateInputConnection,InputConnection onCreateInputConnection (EditorInfo outAttrs)
View,onCreateInputConnection,InputConnection onCreateInputConnection (EditorInfo outAttrs)
WebView,onCreateInputConnection,InputConnection onCreateInputConnection (EditorInfo outAttrs)
AbstractInputMethodService,onCreateInputMethodInterface,AbstractInputMethodService.AbstractInputMethodImpl onCreateInputMethodInterface ()
InputMethodService,onCreateInputMethodInterface,AbstractInputMethodService.AbstractInputMethodImpl onCreateInputMethodInterface ()
AbstractInputMethodService,onCreateInputMethodSessionInterface,AbstractInputMethodService.AbstractInputMethodSessionImpl onCreateInputMethodSessionInterface ()
InputMethodService,onCreateInputMethodSessionInterface,AbstractInputMethodService.AbstractInputMethodSessionImpl onCreateInputMethodSessionInterface ()
InputMethodService,onCreateInputView,View onCreateInputView ()
LoaderManager.LoaderCallbacks,onCreateLoader,"Loader<D> onCreateLoader (int id, Bundle args)"
Activity,onCreateNavigateUpTaskStack,void onCreateNavigateUpTaskStack (TaskStackBuilder builder)
Activity,onCreateOptionsMenu,boolean onCreateOptionsMenu (Menu menu)
Dialog,onCreateOptionsMenu,boolean onCreateOptionsMenu (Menu menu)
Fragment,onCreateOptionsMenu,"void onCreateOptionsMenu (Menu menu, MenuInflater inflater)"
ConnectionService,onCreateOutgoingConnection,"Connection onCreateOutgoingConnection (PhoneAccountHandle connectionManagerPhoneAccount, ConnectionRequest request)"
ConnectionService,onCreateOutgoingConnectionFailed,"void onCreateOutgoingConnectionFailed (PhoneAccountHandle connectionManagerPhoneAccount, ConnectionRequest request)"
TvInputService.Session,onCreateOverlayView,View onCreateOverlayView ()
Activity,onCreatePanelMenu,"boolean onCreatePanelMenu (int featureId, Menu menu)"
Dialog,onCreatePanelMenu,"boolean onCreatePanelMenu (int featureId, Menu menu)"
DreamService,onCreatePanelMenu,"boolean onCreatePanelMenu (int featureId, Menu menu)"
Window.Callback,onCreatePanelMenu,"boolean onCreatePanelMenu (int featureId, Menu menu)"
Activity,onCreatePanelView,View onCreatePanelView (int featureId)
Dialog,onCreatePanelView,View onCreatePanelView (int featureId)
DreamService,onCreatePanelView,View onCreatePanelView (int featureId)
Window.Callback,onCreatePanelView,View onCreatePanelView (int featureId)
PrintService,onCreatePrinterDiscoverySession,PrinterDiscoverySession onCreatePrinterDiscoverySession ()
TvInputService,onCreateRecordingSession,TvInputService.RecordingSession onCreateRecordingSession (String inputId)
PreferenceScreen,onCreateRootAdapter,ListAdapter onCreateRootAdapter ()
TvInputService,onCreateSession,TvInputService.Session onCreateSession (String inputId)
SharedElementCallback,onCreateSnapshotView,"View onCreateSnapshotView (Context context, Parcelable snapshot)"
Activity,onCreateThumbnail,"boolean onCreateThumbnail (Bitmap outBitmap, Canvas canvas)"
Activity,onCreateView,"View onCreateView (String name, Context context, AttributeSet attrs)"
Activity,onCreateView,"View onCreateView (View parent, String name, Context context, AttributeSet attrs)"
AppWidgetHost,onCreateView,"AppWidgetHostView onCreateView (Context context, int appWidgetId, AppWidgetProviderInfo appWidget)"
Fragment,onCreateView,"View onCreateView (LayoutInflater inflater, ViewGroup container, Bundle savedInstanceState)"
FragmentController,onCreateView,"View onCreateView (View parent, String name, Context context, AttributeSet attrs)"
LayoutInflater,onCreateView,"View onCreateView (String name, AttributeSet attrs)"
LayoutInflater,onCreateView,"View onCreateView (View parent, String name, AttributeSet attrs)"
LayoutInflater.Factory,onCreateView,"View onCreateView (String name, Context context, AttributeSet attrs)"
LayoutInflater.Factory2,onCreateView,"View onCreateView (View parent, String name, Context context, AttributeSet attrs)"
ListFragment,onCreateView,"View onCreateView (LayoutInflater inflater, ViewGroup container, Bundle savedInstanceState)"
Preference,onCreateView,View onCreateView (ViewGroup parent)
PreferenceFragment,onCreateView,"View onCreateView (LayoutInflater inflater, ViewGroup container, Bundle savedInstanceState)"
WebViewFragment,onCreateView,"View onCreateView (LayoutInflater inflater, ViewGroup container, Bundle savedInstanceState)"
WebChromeClient,onCreateWindow,"boolean onCreateWindow (WebView view, boolean isDialog, boolean isUserGesture, Message resultMsg)"
InputMethodService,onCurrentInputMethodSubtypeChanged,void onCurrentInputMethodSubtypeChanged (InputMethodSubtype newSubtype)
VrListenerService,onCurrentVrActivityChanged,void onCurrentVrActivityChanged (ComponentName component)
MediaSession.Callback,onCustomAction,"void onCustomAction (String action, Bundle extras)"
CustomPrinterIconCallback,onCustomPrinterIconLoaded,boolean onCustomPrinterIconLoaded (Icon icon)
WebChromeClient.CustomViewCallback,onCustomViewHidden,void onCustomViewHidden ()
PhoneStateListener,onDataActivity,void onDataActivity (int direction)
PhoneStateListener,onDataConnectionStateChanged,"void onDataConnectionStateChanged (int state, int networkType)"
PhoneStateListener,onDataConnectionStateChanged,void onDataConnectionStateChanged (int state)
RemoteViewsService.RemoteViewsFactory,onDataSetChanged,void onDataSetChanged ()
DatePicker.OnDateChangedListener,onDateChanged,"void onDateChanged (DatePicker view, int year, int monthOfYear, int dayOfMonth)"
DatePickerDialog,onDateChanged,"void onDateChanged (DatePicker view, int year, int month, int dayOfMonth)"
DatePickerDialog.OnDateSetListener,onDateSet,"void onDateSet (DatePicker view, int year, int month, int dayOfMonth)"
HostApduService,onDeactivated,void onDeactivated (int reason)
HostNfcFService,onDeactivated,void onDeactivated (int reason)
AsyncQueryHandler,onDeleteComplete,"void onDeleteComplete (int token, Object cookie, int result)"
AppWidgetProvider,onDeleted,"void onDeleted (Context context, int[] appWidgetIds)"
Preference,onDependencyChanged,"void onDependencyChanged (Preference dependency, boolean disableDependent)"
ViewParent,onDescendantInvalidated,"void onDescendantInvalidated (View child, View target)"
BluetoothGattCallback,onDescriptorRead,"void onDescriptorRead (BluetoothGatt gatt, BluetoothGattDescriptor descriptor, int status)"
BluetoothGattServerCallback,onDescriptorReadRequest,"void onDescriptorReadRequest (BluetoothDevice device, int requestId, int offset, BluetoothGattDescriptor descriptor)"
BluetoothGattCallback,onDescriptorWrite,"void onDescriptorWrite (BluetoothGatt gatt, BluetoothGattDescriptor descriptor, int status)"
BluetoothGattServerCallback,onDescriptorWriteRequest,"void onDescriptorWriteRequest (BluetoothDevice device, int requestId, BluetoothGattDescriptor descriptor, boolean preparedWrite, boolean responseNeeded, int offset, byte[] value)"
WallpaperService.Engine,onDesiredSizeChanged,"void onDesiredSizeChanged (int desiredWidth, int desiredHeight)"
Activity,onDestroy,void onDestroy ()
ActivityGroup,onDestroy,void onDestroy ()
BackupAgent,onDestroy,void onDestroy ()
DreamService,onDestroy,void onDestroy ()
Fragment,onDestroy,void onDestroy ()
InputMethodService,onDestroy,void onDestroy ()
Instrumentation,onDestroy,void onDestroy ()
IntentService,onDestroy,void onDestroy ()
ListActivity,onDestroy,void onDestroy ()
NativeActivity,onDestroy,void onDestroy ()
NotificationListenerService,onDestroy,void onDestroy ()
PreferenceActivity,onDestroy,void onDestroy ()
PreferenceFragment,onDestroy,void onDestroy ()
PrinterDiscoverySession,onDestroy,void onDestroy ()
RecognitionService,onDestroy,void onDestroy ()
RemoteViewsService.RemoteViewsFactory,onDestroy,void onDestroy ()
Service,onDestroy,void onDestroy ()
TextToSpeechService,onDestroy,void onDestroy ()
TileService,onDestroy,void onDestroy ()
VoiceInteractionSession,onDestroy,void onDestroy ()
WallpaperService,onDestroy,void onDestroy ()
WallpaperService.Engine,onDestroy,void onDestroy ()
WebViewFragment,onDestroy,void onDestroy ()
ActionMode.Callback,onDestroyActionMode,void onDestroyActionMode (ActionMode mode)
RemoteConference.Callback,onDestroyed,void onDestroyed (RemoteConference conference)
RemoteConnection.Callback,onDestroyed,void onDestroyed (RemoteConnection connection)
Fragment,onDestroyOptionsMenu,void onDestroyOptionsMenu ()
DialogFragment,onDestroyView,void onDestroyView ()
Fragment,onDestroyView,void onDestroyView ()
ListFragment,onDestroyView,void onDestroyView ()
PreferenceFragment,onDestroyView,void onDestroyView ()
WebViewFragment,onDestroyView,void onDestroyView ()
DialogFragment,onDetach,void onDetach ()
Fragment,onDetach,void onDetach ()
VoiceInteractor.Request,onDetached,void onDetached ()
AbsListView,onDetachedFromWindow,void onDetachedFromWindow ()
ActionMenuView,onDetachedFromWindow,void onDetachedFromWindow ()
Activity,onDetachedFromWindow,void onDetachedFromWindow ()
AdapterView,onDetachedFromWindow,void onDetachedFromWindow ()
AdapterViewFlipper,onDetachedFromWindow,void onDetachedFromWindow ()
AnalogClock,onDetachedFromWindow,void onDetachedFromWindow ()
AutoCompleteTextView,onDetachedFromWindow,void onDetachedFromWindow ()
Chronometer,onDetachedFromWindow,void onDetachedFromWindow ()
Dialog,onDetachedFromWindow,void onDetachedFromWindow ()
DigitalClock,onDetachedFromWindow,void onDetachedFromWindow ()
DreamService,onDetachedFromWindow,void onDetachedFromWindow ()
GestureOverlayView,onDetachedFromWindow,void onDetachedFromWindow ()
GLSurfaceView,onDetachedFromWindow,void onDetachedFromWindow ()
ImageView,onDetachedFromWindow,void onDetachedFromWindow ()
KeyboardView,onDetachedFromWindow,void onDetachedFromWindow ()
ListView,onDetachedFromWindow,void onDetachedFromWindow ()
MediaRouteButton,onDetachedFromWindow,void onDetachedFromWindow ()
NumberPicker,onDetachedFromWindow,void onDetachedFromWindow ()
ProgressBar,onDetachedFromWindow,void onDetachedFromWindow ()
ScrollView,onDetachedFromWindow,void onDetachedFromWindow ()
SearchView,onDetachedFromWindow,void onDetachedFromWindow ()
Spinner,onDetachedFromWindow,void onDetachedFromWindow ()
SurfaceView,onDetachedFromWindow,void onDetachedFromWindow ()
TextClock,onDetachedFromWindow,void onDetachedFromWindow ()
Toolbar,onDetachedFromWindow,void onDetachedFromWindow ()
TvView,onDetachedFromWindow,void onDetachedFromWindow ()
VideoView,onDetachedFromWindow,void onDetachedFromWindow ()
View,onDetachedFromWindow,void onDetachedFromWindow ()
ViewFlipper,onDetachedFromWindow,void onDetachedFromWindow ()
ViewGroup,onDetachedFromWindow,void onDetachedFromWindow ()
Window.Callback,onDetachedFromWindow,void onDetachedFromWindow ()
Call.Callback,onDetailsChanged,"void onDetailsChanged (Call call, Call.Details details)"
AlwaysOnHotwordDetector.Callback,onDetected,void onDetected (AlwaysOnHotwordDetector.EventPayload eventPayload)
MidiManager.DeviceCallback,onDeviceAdded,void onDeviceAdded (MidiDeviceInfo device)
CompanionDeviceManager.Callback,onDeviceFound,void onDeviceFound (IntentSender chooserLauncher)
MidiManager.OnDeviceOpenedListener,onDeviceOpened,void onDeviceOpened (MidiDevice device)
MidiManager.DeviceCallback,onDeviceRemoved,void onDeviceRemoved (MidiDeviceInfo device)
MidiDeviceService,onDeviceStatusChanged,void onDeviceStatusChanged (MidiDeviceStatus status)
MidiManager.DeviceCallback,onDeviceStatusChanged,void onDeviceStatusChanged (MidiDeviceStatus status)
DialogPreference,onDialogClosed,void onDialogClosed (boolean positiveResult)
EditTextPreference,onDialogClosed,void onDialogClosed (boolean positiveResult)
ListPreference,onDialogClosed,void onDialogClosed (boolean positiveResult)
MultiSelectListPreference,onDialogClosed,void onDialogClosed (boolean positiveResult)
AppWidgetProvider,onDisabled,void onDisabled (Context context)
DeviceAdminReceiver,onDisabled,"void onDisabled (Context context, Intent intent)"
DeviceAdminReceiver,onDisableRequested,"CharSequence onDisableRequested (Context context, Intent intent)"
Explode,onDisappear,"Animator onDisappear (ViewGroup sceneRoot, View view, TransitionValues startValues, TransitionValues endValues)"
Fade,onDisappear,"Animator onDisappear (ViewGroup sceneRoot, View view, TransitionValues startValues, TransitionValues endValues)"
Slide,onDisappear,"Animator onDisappear (ViewGroup sceneRoot, View view, TransitionValues startValues, TransitionValues endValues)"
Visibility,onDisappear,"Animator onDisappear (ViewGroup sceneRoot, TransitionValues startValues, int startVisibility, TransitionValues endValues, int endVisibility)"
Visibility,onDisappear,"Animator onDisappear (ViewGroup sceneRoot, View view, TransitionValues startValues, TransitionValues endValues)"
Conference,onDisconnect,void onDisconnect ()
MidiOutputPort,onDisconnect,void onDisconnect (MidiReceiver receiver)
MidiSender,onDisconnect,void onDisconnect (MidiReceiver receiver)
AutofillService,onDisconnected,void onDisconnected ()
CameraDevice.StateCallback,onDisconnected,void onDisconnected (CameraDevice camera)
PrintService,onDisconnected,void onDisconnected ()
RemoteConference.Callback,onDisconnected,"void onDisconnected (RemoteConference conference, DisconnectCause disconnectCause)"
RemoteConnection.Callback,onDisconnected,"void onDisconnected (RemoteConnection connection, DisconnectCause disconnectCause)"
TvRecordingClient.RecordingCallback,onDisconnected,void onDisconnected (String inputId)
TvView.TvInputCallback,onDisconnected,void onDisconnected (String inputId)
NsdManager.DiscoveryListener,onDiscoveryStarted,void onDiscoveryStarted (String serviceType)
NsdManager.DiscoveryListener,onDiscoveryStopped,void onDiscoveryStopped (String serviceType)
AutoCompleteTextView.OnDismissListener,onDismiss,void onDismiss ()
DialogFragment,onDismiss,void onDismiss (DialogInterface dialog)
DialogInterface.OnDismissListener,onDismiss,void onDismiss (DialogInterface dialog)
DialogPreference,onDismiss,void onDismiss (DialogInterface dialog)
PopupMenu.OnDismissListener,onDismiss,void onDismiss (PopupMenu menu)
PopupWindow.OnDismissListener,onDismiss,void onDismiss ()
PreferenceScreen,onDismiss,void onDismiss (DialogInterface dialog)
SearchManager,onDismiss,void onDismiss (DialogInterface dialog)
SearchManager.OnDismissListener,onDismiss,void onDismiss ()
KeyguardManager.KeyguardDismissCallback,onDismissCancelled,void onDismissCancelled ()
KeyguardManager.KeyguardDismissCallback,onDismissError,void onDismissError ()
KeyguardManager.KeyguardDismissCallback,onDismissSucceeded,void onDismissSucceeded ()
DisplayManager.DisplayListener,onDisplayAdded,void onDisplayAdded (int displayId)
DisplayManager.DisplayListener,onDisplayChanged,void onDisplayChanged (int displayId)
Presentation,onDisplayChanged,void onDisplayChanged ()
InputMethodService,onDisplayCompletions,void onDisplayCompletions (CompletionInfo[] completions)
AbsListView,onDisplayHint,void onDisplayHint (int hint)
AutoCompleteTextView,onDisplayHint,void onDisplayHint (int hint)
View,onDisplayHint,void onDisplayHint (int hint)
DisplayManager.DisplayListener,onDisplayRemoved,void onDisplayRemoved (int displayId)
Presentation,onDisplayRemoved,void onDisplayRemoved ()
WifiP2pManager.DnsSdServiceResponseListener,onDnsSdServiceAvailable,"void onDnsSdServiceAvailable (String instanceName, String registrationType, WifiP2pDevice srcDevice)"
WifiP2pManager.DnsSdTxtRecordListener,onDnsSdTxtRecordAvailable,"void onDnsSdTxtRecordAvailable (String fullDomainName, Map<String, String> txtRecordMap, WifiP2pDevice srcDevice)"
UtteranceProgressListener,onDone,void onDone (String utteranceId)
GestureDetector.OnDoubleTapListener,onDoubleTap,boolean onDoubleTap (MotionEvent e)
GestureDetector.SimpleOnGestureListener,onDoubleTap,boolean onDoubleTap (MotionEvent e)
GestureDetector.OnDoubleTapListener,onDoubleTapEvent,boolean onDoubleTapEvent (MotionEvent e)
GestureDetector.SimpleOnGestureListener,onDoubleTapEvent,boolean onDoubleTapEvent (MotionEvent e)
Gallery,onDown,boolean onDown (MotionEvent e)
GestureDetector.OnGestureListener,onDown,boolean onDown (MotionEvent e)
GestureDetector.SimpleOnGestureListener,onDown,boolean onDown (MotionEvent e)
SQLiteOpenHelper,onDowngrade,"void onDowngrade (SQLiteDatabase db, int oldVersion, int newVersion)"
CarrierMessagingService,onDownloadMms,"void onDownloadMms (Uri contentUri, int subId, Uri location, ResultCallback<Integer> callback)"
DownloadListener,onDownloadStart,"void onDownloadStart (String url, String userAgent, String contentDisposition, String mimetype, long contentLength)"
View.OnDragListener,onDrag,"boolean onDrag (View v, DragEvent event)"
TextView,onDragEvent,boolean onDragEvent (DragEvent event)
View,onDragEvent,boolean onDragEvent (DragEvent event)
WebView,onDragEvent,boolean onDragEvent (DragEvent event)
AbsSeekBar,onDraw,void onDraw (Canvas canvas)
AnalogClock,onDraw,void onDraw (Canvas canvas)
CheckedTextView,onDraw,void onDraw (Canvas canvas)
CompoundButton,onDraw,void onDraw (Canvas canvas)
ImageView,onDraw,void onDraw (Canvas canvas)
KeyboardView,onDraw,void onDraw (Canvas canvas)
LinearLayout,onDraw,void onDraw (Canvas canvas)
MediaRouteButton,onDraw,void onDraw (Canvas canvas)
NumberPicker,onDraw,void onDraw (Canvas canvas)
ProgressBar,onDraw,void onDraw (Canvas canvas)
QuickContactBadge,onDraw,void onDraw (Canvas canvas)
ShapeDrawable,onDraw,"void onDraw (Shape shape, Canvas canvas, Paint paint)"
Switch,onDraw,void onDraw (Canvas canvas)
TextureView,onDraw,void onDraw (Canvas canvas)
TextView,onDraw,void onDraw (Canvas canvas)
View,onDraw,void onDraw (Canvas canvas)
ViewTreeObserver.OnDrawListener,onDraw,void onDraw ()
WebView,onDraw,void onDraw (Canvas canvas)
Icon.OnDrawableLoadedListener,onDrawableLoaded,void onDrawableLoaded (Drawable d)
SlidingDrawer.OnDrawerCloseListener,onDrawerClosed,void onDrawerClosed ()
SlidingDrawer.OnDrawerOpenListener,onDrawerOpened,void onDrawerOpened ()
View,onDrawForeground,void onDrawForeground (Canvas canvas)
GLSurfaceView.Renderer,onDrawFrame,void onDrawFrame(GL10 gl) 
View,onDrawScrollBars,void onDrawScrollBars (Canvas canvas)
View.DragShadowBuilder,onDrawShadow,void onDrawShadow (Canvas canvas)
DreamService,onDreamingStarted,void onDreamingStarted ()
DreamService,onDreamingStopped,void onDreamingStopped ()
MediaPlayer.OnDrmConfigHelper,onDrmConfig,void onDrmConfig (MediaPlayer mp)
MediaPlayer.OnDrmInfoListener,onDrmInfo,"void onDrmInfo (MediaPlayer mp, MediaPlayer.DrmInfo drmInfo)"
MediaPlayer.OnDrmPreparedListener,onDrmPrepared,"void onDrmPrepared (MediaPlayer mp, int status)"
FragmentHostCallback,onDump,"void onDump (String prefix, FileDescriptor fd, PrintWriter writer, String[] args)"
SensorManager.DynamicSensorCallback,onDynamicSensorConnected,void onDynamicSensorConnected (Sensor sensor)
SensorManager.DynamicSensorCallback,onDynamicSensorDisconnected,void onDynamicSensorDisconnected (Sensor sensor)
TextView,onEditorAction,void onEditorAction (int actionCode)
TextView.OnEditorActionListener,onEditorAction,"boolean onEditorAction (TextView v, int actionId, KeyEvent event)"
EffectUpdateListener,onEffectUpdated,"void onEffectUpdated (Effect effect, Object info)"
AppWidgetProvider,onEnabled,void onEnabled (Context context)
DeviceAdminReceiver,onEnabled,"void onEnabled (Context context, Intent intent)"
CaptioningManager.CaptioningChangeListener,onEnabledChanged,void onEnabledChanged (boolean enabled)
AudioEffect.OnEnableStatusChangeListener,onEnableStatusChange,"void onEnableStatusChange (AudioEffect effect, boolean enabled)"
TextView,onEndBatchEdit,void onEndBatchEdit ()
RecognitionListener,onEndOfSpeech,void onEndOfSpeech ()
Activity,onEnterAnimationComplete,void onEnterAnimationComplete ()
AccountAuthenticatorResponse,onError,"void onError (int errorCode, String errorMessage)"
AlwaysOnHotwordDetector.Callback,onError,void onError ()
Camera.ErrorCallback,onError,"void onError (int error, Camera camera)"
CameraDevice.StateCallback,onError,"void onError (CameraDevice camera, int error)"
DrmManagerClient.OnErrorListener,onError,"void onError (DrmManagerClient client, DrmErrorEvent event)"
MediaBrowser.ItemCallback,onError,void onError (String mediaId)
MediaBrowser.SubscriptionCallback,onError,"void onError (String parentId, Bundle options)"
MediaBrowser.SubscriptionCallback,onError,void onError (String parentId)
MediaCodec.Callback,onError,"void onError (MediaCodec codec, MediaCodec.CodecException e)"
MediaPlayer.OnErrorListener,onError,"boolean onError (MediaPlayer mp, int what, int extra)"
MediaRecorder.OnErrorListener,onError,"void onError (MediaRecorder mr, int what, int extra)"
MediaSync.OnErrorListener,onError,"void onError (MediaSync sync, int what, int extra)"
RecognitionListener,onError,void onError (int error)
SipAudioCall.Listener,onError,"void onError (SipAudioCall call, int errorCode, String errorMessage)"
SipSession.Listener,onError,"void onError (SipSession session, int errorCode, String errorMessage)"
TvRecordingClient.RecordingCallback,onError,void onError (int error)
UtteranceProgressListener,onError,"void onError (String utteranceId, int errorCode)"
UtteranceProgressListener,onError,void onError (String utteranceId)
InputMethodService,onEvaluateFullscreenMode,boolean onEvaluateFullscreenMode ()
InputMethodService,onEvaluateInputViewShown,boolean onEvaluateInputViewShown ()
DrmManagerClient.OnEventListener,onEvent,"void onEvent (DrmManagerClient client, DrmEvent event)"
FileObserver,onEvent,"void onEvent (int event, String path)"
MediaCas.EventListener,onEvent,"void onEvent (MediaCas MediaCas, int event, int arg, byte[] data)"
MediaDrm.OnEventListener,onEvent,"void onEvent (MediaDrm md, byte[] sessionId, int event, int extra, byte[] data)"
RecognitionListener,onEvent,"void onEvent (int eventType, Bundle params)"
WebChromeClient,onExceededDatabaseQuota,"void onExceededDatabaseQuota (String url, String databaseIdentifier, long quota, long estimatedDatabaseSize, long totalQuota, WebStorage.QuotaUpdater quotaUpdater)"
Instrumentation,onException,"boolean onException (Object obj, Throwable e)"
CountedCompleter,onExceptionalCompletion,"boolean onExceptionalCompletion (Throwable ex, CountedCompleter<?> caller)"
BluetoothGattServerCallback,onExecuteWrite,"void onExecuteWrite (BluetoothDevice device, int requestId, boolean execute)"
MediaDrm.OnExpirationUpdateListener,onExpirationUpdate,"void onExpirationUpdate (MediaDrm md, byte[] sessionId, long expirationTime)"
InputMethodService,onExtractedCursorMovement,"void onExtractedCursorMovement (int dx, int dy)"
InputMethodService,onExtractedSelectionChanged,"void onExtractedSelectionChanged (int start, int end)"
InputMethodService,onExtractedTextClicked,void onExtractedTextClicked ()
InputMethodService,onExtractingInputChanged,void onExtractingInputChanged (EditorInfo ei)
InputMethodService,onExtractTextContextMenuItem,boolean onExtractTextContextMenuItem (int id)
Conference,onExtrasChanged,void onExtrasChanged (Bundle extras)
MediaController.Callback,onExtrasChanged,void onExtrasChanged (Bundle extras)
RemoteConference.Callback,onExtrasChanged,"void onExtrasChanged (RemoteConference conference, Bundle extras)"
RemoteConnection.Callback,onExtrasChanged,"void onExtrasChanged (RemoteConnection connection, Bundle extras)"
Camera.FaceDetectionListener,onFaceDetection,"void onFaceDetection (Face[] faces, Camera camera)"
WifiManager.LocalOnlyHotspotCallback,onFailed,void onFailed (int reason)
WifiManager.WpsCallback,onFailed,void onFailed (int reason)
CompanionDeviceManager.Callback,onFailure,void onFailure (CharSequence error)
FillCallback,onFailure,void onFailure (CharSequence message)
SaveCallback,onFailure,void onFailure (CharSequence message)
WifiP2pManager.ActionListener,onFailure,void onFailure (int reason)
MediaSession.Callback,onFastForward,void onFastForward ()
Visualizer.OnDataCaptureListener,onFftDataCapture,"void onFftDataCapture (Visualizer visualizer, byte[] fft, int samplingRate)"
MessageQueue.OnFileDescriptorEventListener,onFileDescriptorEvents,"int onFileDescriptorEvents (FileDescriptor fd, int events)"
AutofillService,onFillRequest,"void onFillRequest (FillRequest request, CancellationSignal cancellationSignal, FillCallback callback)"
AbsListView,onFilterComplete,void onFilterComplete (int count)
AutoCompleteTextView,onFilterComplete,void onFilterComplete (int count)
Filter.FilterListener,onFilterComplete,void onFilterComplete (int count)
CarrierMessagingService,onFilterSms,"void onFilterSms (MessagePdu pdu, String format, int destPort, int subId, ResultCallback<Boolean> callback)"
View,onFilterTouchEventForSecurity,boolean onFilterTouchEventForSecurity (MotionEvent event)
WebView.FindListener,onFindResultReceived,"void onFindResultReceived (int activeMatchOrdinal, int numberOfMatches, boolean isDoneCounting)"
FragmentContainer,onFindViewById,T onFindViewById (int id)
FragmentHostCallback,onFindViewById,T onFindViewById (int id)
CountDownTimer,onFinish,void onFinish ()
PrintDocumentAdapter,onFinish,void onFinish ()
InputMethodService,onFinishCandidatesView,void onFinishCandidatesView (boolean finishingInput)
PackageInstaller.SessionCallback,onFinished,"void onFinished (int sessionId, boolean success)"
SyncContext,onFinished,void onFinished (SyncResult result)
DialerFilter,onFinishInflate,void onFinishInflate ()
ListView,onFinishInflate,void onFinishInflate ()
MediaController,onFinishInflate,void onFinishInflate ()
RadioGroup,onFinishInflate,void onFinishInflate ()
SlidingDrawer,onFinishInflate,void onFinishInflate ()
ToggleButton,onFinishInflate,void onFinishInflate ()
TwoLineListItem,onFinishInflate,void onFinishInflate ()
View,onFinishInflate,void onFinishInflate ()
InputMethodService,onFinishInput,void onFinishInput ()
InputMethodService,onFinishInputView,void onFinishInputView (boolean finishingInput)
View,onFinishTemporaryDetach,void onFinishTemporaryDetach ()
WebView,onFinishTemporaryDetach,void onFinishTemporaryDetach ()
GnssStatus.Callback,onFirstFix,void onFirstFix (int ttffMillis)
Gallery,onFling,"boolean onFling (MotionEvent e1, MotionEvent e2, float velocityX, float velocityY)"
GestureDetector.OnGestureListener,onFling,"boolean onFling (MotionEvent e1, MotionEvent e2, float velocityX, float velocityY)"
GestureDetector.SimpleOnGestureListener,onFling,"boolean onFling (MotionEvent e1, MotionEvent e2, float velocityX, float velocityY)"
MidiInputPort,onFlush,void onFlush ()
MidiReceiver,onFlush,void onFlush ()
SensorEventCallback,onFlushCompleted,void onFlushCompleted (Sensor sensor)
